order,category,question,answer
1,退費,如果報名後臨時無法參加，可以退費嗎？,"本課程為系列課程，退費規定如下：\n• 開課日前 21 天：扣除行政作業費 $200 後全額退費\n• 開課日前 7~20 天：退還實付總額 90%\n• 開課日前 1~6 天：退還實付總額 60%\n• 課程開始後未逾 1/3：退還實付總額 20%\n• 課程進行逾 1/3：恕不退費\n\n如遇行政院公告天災或其他不可抗力因素，將另行協議補課日期。"
2,報名,全勤或請假有什麼優惠？,"• 全勤學員下一期續報，可享 10% 折扣（限本人）\n• 因個人因素請假者，下一期報名可享 5% 折扣（限本人）\n• 若本期報名踴躍加開班別，可提供跨班補課，以一次為限"
3,其他,課程拍攝的照片會用在哪裡？,"課程期間拍攝的照片與影片，將用於虎甲自然的成果展現與社群推廣。\n\n針對未成年學員，公開素材中不會主動揭露清晰正臉，以側寫、背影或數位處理為主。如不希望肖像公開，請於報名時主動告知。"
4,報名,為什麼線上報名沒有要求身分證字號？,"身分證字號屬於高敏感個資，為了避免線上傳輸風險，我們不在表單上收集。\n\n待報名確認後，我們會由 LINE 一對一個別聯繫，請您提供保險投保所需的身分證字號。"
5,安全,遇到下雨或天氣不佳會怎麼處理？,"我們會依當日氣象與步道條件，於前一晚或當日清晨評估：\n• 小雨：照常進行，請學員攜帶雨具\n• 大雨/雷雨：改為室內課程或順延\n• 颱風、地震等不可抗力：依行政院公告辦理，另協議補課日期"
6,課程,我可以中途換班或補課嗎？,"原則上不提供換班與補課機制，請於報名前確認班級時程是否能配合。\n\n例外：若本期報名踴躍加開班別，可申請跨班補課，以一次為限。詳情請洽 LINE 諮詢。"
