class_id,name,series,level,region,price,age_range,experience_requirement,duration_hours,transport_note,activity_areas,description,display_order
shanshi,山柿班,山野成長,初階,台北,8000,小一~小三,無,7,大眾交通為主,"台北大安、士林、北投、新北鶯歌",適合無戶外經驗的孩子，從鄰近郊山開始建立基礎山野能力。,1
kulian,苦楝班,山野成長,初階,台中,8000,小一~小三,無,7,大眾交通為主,"台中新社、大肚、太平、烏日、潭子",中台灣的初階班，走進新社、大肚台地，認識中部低海拔自然。,2
fengxiang,風箱班,山野成長,初階,宜蘭,8000,小一~小三,無,7,大眾交通為主,"新北貢寮、宜蘭頭城、礁溪、蘇澳、南澳",東北角海岸與蘭陽平原，從海到山的多樣地形體驗。,3
xiangnan,香楠班,山野成長,中階,台北,8500,小二~小五,低頻率,8,大眾交通為主,"台北內湖、士林、新北中和、土城",一年以上戶外經驗的孩子，更多自主行動與環境理解。,4
fengxiang_maple,楓香班,山野成長,進階,台北,9500,小三~小六,中頻率,9,大眾交通為主，含一次接駁包車,"台北北投、南港、新北八里、鶯歌、烏來、瑞芳",強化自主行動與環境應變，活動範圍擴及大台北郊山。,5
lengshan,冷杉班,山野成長,挑戰,台北,10500,小六~國中,一定程度,9,大眾交通為主，含一~二次接駁包車,"台北內湖、士林、南港、新北新店、三峽、烏來",挑戰百岳與夜間登山，寒暑假百岳營隊優先參與。,6
shoucao,綬草班,自然探索,親子,台北,2400,中班~小三,無,4,大眾交通自理,"台北大安、士林、北投、文山、新店",親子共學，每兩個月一次週五下半天，由家長陪同走進近郊步道。,7
yuteng,魚藤班,原野觀察,探究,台北,9500,小四以上,無,6,大眾交通自理,"大台北地區，含部分室內課",主題探究與公民科學，從趴溪到夜間觀察，動手做森林修補。,8
